Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 7.0.5,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 7.0.5  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 7.0.5,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 7.0.5  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,,,Microsoft.Extensions.Http 7.0.0,,,,,"Microsoft.Extensions.Http, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Pages\Index.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,314,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_showCalendarTab = Configuration != null && Configuration.GetValue<string>(""GoogleCalendarEmbedCode"") != null;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Pages\Index.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,313,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_showWeatherTab = Configuration != null && Configuration.GetValue<string>(""Locale"") != null;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Pages\Index.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,311,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_showSmartThingsTab = Configuration != null && Configuration.GetValue<string>(""SmartThingsApiBaseAddress"") != null &&              Configuration.GetValue<string>(""SmartThingsApiAccessToken"") != null;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Pages\Index.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,311,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_showSmartThingsTab = Configuration != null && Configuration.GetValue<string>(""SmartThingsApiBaseAddress"") != null &&              Configuration.GetValue<string>(""SmartThingsApiAccessToken"") != null;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\SmartHome.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,215,8,M:System.TimeSpan.FromHours(System.Double),,,,,"_timer = new System.Threading.Timer(async _ =>          {              await FetchDevicesAsync();              await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromHours(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\RandomJoke.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,183,8,M:System.TimeSpan.FromHours(System.Double),,,,,"_timer = new System.Threading.Timer(async _ =>          {              await FetchJokeTextAsync();              await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromHours(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\RandomQuote.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,183,8,M:System.TimeSpan.FromHours(System.Double),,,,,"_timer = new System.Threading.Timer(async _ =>          {              await FetchQuoteTextAsync();              await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromHours(1));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\WeatherForecast.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,179,8,M:System.TimeSpan.FromHours(System.Double),,,,,"_timer = new System.Threading.Timer(async _ =>          {              await FetchWeatherReportAsync();              await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromHours(1));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\Calendar.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,83,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"__builder.AddContent(1, (MarkupString)Configuration.GetValue<string>(""GoogleCalendarEmbedCode"")!    #line default  #line hidden  #nullable disable              );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Modules\Tiles\SmartHomeTile.razor.Qivx-zWVKl-H3Cpt.ide.g.cs,253,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_timer = new System.Threading.Timer(async _ =>          {              await RefreshDeviceAsync();              await InvokeAsync(StateHasChanged);          }, null, TimeSpan.Zero, TimeSpan.FromMinutes(1));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Services\SmartThingsService.cs,319,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Services\SmartThingsService.cs,319,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FamilyDashboard.Blazor\FamilyDashboard.Blazor.csproj,File,FamilyDashboard.Blazor\Services\SmartThingsService.cs,151,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
